sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,detail_type,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,total_wagers,total_handle
College,In-Person Wagering,Elgin Riverboat Resort,254,103767.05,0,0,January,1,2021,Handle Details,150,146800.65,2720,186075.6,1360,11091.75,5529,0,0,0,55,0,0,0,254,103767.05
College,In-Person Wagering,"Hawthorne Race Course, Inc.",1071,53788.05,0,0,January,1,2021,Wager Details,1,1811,65,636,0,212,0,0,247,0,0,0,0,0,1071,53788.05
College,In-Person Wagering,"Hawthorne Race Course, Inc.",1071,53788.05,0,0,January,1,2021,Handle Details,125,90054.05,3221,35563.5,0,10381.4,0,0,12312,0,0,0,0,0,1071,53788.05
College,In-Person Wagering,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,Wager Details,57,1199,55,603,28,162,38,2,170,0,3,0,0,0,373,51441.35
College,In-Person Wagering,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,Handle Details,1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,373,51441.35
College,In-Person Wagering,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,Wager Details,6,1497,50,715,40,217,395,0,265,1,2,0,0,0,813,100061.31
College,In-Person Wagering,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,Handle Details,185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,813,100061.31
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",2488,555040.79,1083,280842.63,January,1,2021,Wager Details,40,8974,290,2880,118,1167,1790,36,2164,6,3,0,0,0,3571,835883.42
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",2488,555040.79,1083,280842.63,January,1,2021,Handle Details,2460,2171542.32,65075.17,957557.1,3452.27,113943.64,217737.77,4506.57,209960.42,760,30,0,0,0,3571,835883.42
College,In-Person Wagering,Par-A-Dice Gaming Corporation,216,16887,5,1064,January,1,2021,Wager Details,2,356,21,359,1,55,1,0,1185,0,0,0,0,0,221,17951
College,In-Person Wagering,Par-A-Dice Gaming Corporation,216,16887,5,1064,January,1,2021,Handle Details,110,36397,799,63257.25,10,3722,40,0,30436.02,0,0,0,0,0,221,17951
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"Casino Queen, Inc.",928524,26597777.46,644253,32227215.08,January,1,2021,Wager Details,2766,1961656,134743,2223140,120223,236870,251716,75762,2602498,197247,1663,0,0,0,1572777,58824992.54
College,Online Wagering,"Casino Queen, Inc.",928524,26597777.46,644253,32227215.08,January,1,2021,Handle Details,78646.15,92590892.96,3567430.29,69335244.06,2080297.55,7571451.22,12710205.62,4476511.15,47210285.82,3908592.14,9286.25,0,0,0,1572777,58824992.54
College,Online Wagering,Elgin Riverboat Resort,21129,3226927.72,266,11680.62,January,1,2021,Wager Details,52,30903,973,24235,436,3474,2736,151,0,85,18,0,0,0,21395,3238608.34
College,Online Wagering,Elgin Riverboat Resort,21129,3226927.72,266,11680.62,January,1,2021,Handle Details,1608.04,4061914.35,49066.42,4348569.57,33162.27,219340.49,179030.04,22994.42,0,1413.4,97,0,0,0,21395,3238608.34
College,Online Wagering,"Hawthorne Race Course, Inc.",102528,5396423.01,65501,6545012.78,January,1,2021,Wager Details,443,209990,9954,145305,11407,28355,29255,6645,176622,61104,51,0,0,0,168029,11941435.79
College,Online Wagering,"Hawthorne Race Course, Inc.",102528,5396423.01,65501,6545012.78,January,1,2021,Handle Details,17120.36,17750973.18,394724.63,8828273.9,255984.97,1634462.34,2806063.45,1116016.6,6173519.12,1461582.08,712.9,0,0,0,168029,11941435.79
College,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"HC Aurora, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,Wager Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,January,1,2021,Handle Details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",336144,14748495.58,180894,16899850.35,January,1,2021,Wager Details,1074,886960,36290,654391,32590,128553,179303,41447,194527,1552,93,0,0,0,517038,31648345.93
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",336144,14748495.58,180894,16899850.35,January,1,2021,Handle Details,50557.82,51040185.7,1448109.84,34638965.02,578967.54,4096663.37,7997767.67,3668746.56,5375950.8,94327.44,589.8,0,0,0,517038,31648345.93
College,Online Wagering,Par-A-Dice Gaming Corporation,442664,19708914.17,187522,13515672.53,January,1,2021,Wager Details,1623,1366804,93977,1212171,53572,145803,127850,47502,3748853,56120,378,0,0,0,630186,33224586.7
College,Online Wagering,Par-A-Dice Gaming Corporation,442664,19708914.17,187522,13515672.53,January,1,2021,Handle Details,38195.45,60984779.83,2332982.38,40425591.42,1019764.24,4132594.58,6062147.25,4272902.37,50046247.86,4028472.41,2483.51,0,0,0,630186,33224586.7
College,Total,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,1392,187155.79
College,Total,"Alton Casino, LLC",961,111634.41,431,75521.38,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,1392,187155.79
College,Total,"Casino Queen, Inc.",929883,26722106.31,644648,32268437.42,January,1,2021,Wager Details,2799,1966475,134848,2224735,120331,237706,252044,75766,2604115,197247,1669,0,0,0,1574531,58990543.73
