sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2023,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,June,6,2023,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,June,6,2023,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,June,6,2023,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,June,6,2023,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",11526,1124777.35,17450,761519.38,July,7,2023,28976,1886296.73
Professional,In-Person Wagering,"Casino Queen, Inc.",39257,1813787.92,33229,1549894.32,July,7,2023,72486,3363682.24
Professional,In-Person Wagering,Elgin Riverboat Resort,3289,581232.84,2175,126525.65,July,7,2023,5464,707758.49
Professional,In-Person Wagering,"Fairmount Park, Inc.",7777,555132.39,1670,156656.6,July,7,2023,9447,711788.99
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",16416,1167499.1,0,0,July,7,2023,16416,1167499.1
Professional,In-Person Wagering,"HC Aurora, LLC",5952,255464.11,4804,477126.36,July,7,2023,10756,732590.47
Professional,In-Person Wagering,"HC Joliet, LLC",5130,368696.78,4552,263534.01,July,7,2023,9682,632230.79
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",26160,3572071.27,23607,2942798.66,July,7,2023,49767,6514869.93
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,3030,473407.71,722,82763.54,July,7,2023,3752,556171.25
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2738142,111078875.7,2954530,118009849,July,7,2023,5692672,229088724.7
Professional,Online Wagering,Elgin Riverboat Resort,90597,13001145.01,250145,19812768.3,July,7,2023,340742,32813913.31
Professional,Online Wagering,"Fairmount Park, Inc.",3872538,87168989.75,2369663,113267748.7,July,7,2023,6242201,200436738.5
Professional,Online Wagering,"Hawthorne Race Course, Inc.",215300,9433869.17,202932,19486870.16,July,7,2023,418232,28920739.33
Professional,Online Wagering,"HC Aurora, LLC",46719,3832704.2,203040,15940210.28,July,7,2023,249759,19772914.48
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",314297,14908852.58,605006,37177187.08,July,7,2023,919303,52086039.66
Professional,Online Wagering,Par-A-Dice Gaming Corporation,293936,12572510.7,397077,16929959.99,July,7,2023,691013,29502470.69
Professional,Total,"Alton Casino, LLC",11526,1124777.35,17450,761519.38,July,7,2023,28976,1886296.73
Professional,Total,"Casino Queen, Inc.",2777399,112892663.6,2987759,119559743.3,July,7,2023,5765158,232452406.9
Professional,Total,Elgin Riverboat Resort,93886,13582377.85,252320,19939293.95,July,7,2023,346206,33521671.8
Professional,Total,"Fairmount Park, Inc.",3880315,87724122.14,2371333,113424405.3,July,7,2023,6251648,201148527.4
Professional,Total,"Hawthorne Race Course, Inc.",231716,10601368.27,202932,19486870.16,July,7,2023,434648,30088238.43
Professional,Total,"HC Aurora, LLC",52671,4088168.31,207844,16417336.64,July,7,2023,260515,20505504.95
Professional,Total,"HC Joliet, LLC",5130,368696.78,4552,263534.01,July,7,2023,9682,632230.79
Professional,Total,"Midwest Gaming & Entertainment, LLC",340457,18480923.85,628613,40119985.74,July,7,2023,969070,58600909.59
Professional,Total,Par-A-Dice Gaming Corporation,296966,13045918.41,397799,17012723.53,July,7,2023,694765,30058641.94
College,In-Person Wagering,"Alton Casino, LLC",15,235,1,20,July,7,2023,16,255
College,In-Person Wagering,"Casino Queen, Inc.",13,1476,56,8111.73,July,7,2023,69,9587.73
College,In-Person Wagering,Elgin Riverboat Resort,10,1224.6,51,13942.5,July,7,2023,61,15167.1
College,In-Person Wagering,"Fairmount Park, Inc.",48,1111,0,0,July,7,2023,48,1111
College,In-Person Wagering,"Hawthorne Race Course, Inc.",5,340,0,0,July,7,2023,5,340
College,In-Person Wagering,"HC Aurora, LLC",16,5090.94,2,100,July,7,2023,18,5190.94
College,In-Person Wagering,"HC Joliet, LLC",17,1260.25,4,170,July,7,2023,21,1430.25
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",98,10350.52,15,935.79,July,7,2023,113,11286.31
College,In-Person Wagering,Par-A-Dice Gaming Corporation,14,549,0,0,July,7,2023,14,549
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
College,Online Wagering,"Casino Queen, Inc.",4102,214960.55,194,3857.13,July,7,2023,4296,218817.68
College,Online Wagering,Elgin Riverboat Resort,149,39502.39,517,62529.3,July,7,2023,666,102031.69
College,Online Wagering,"Fairmount Park, Inc.",3155,273330.19,0,0,July,7,2023,3155,273330.19
College,Online Wagering,"Hawthorne Race Course, Inc.",250,9877.51,0,0,July,7,2023,250,9877.51
College,Online Wagering,"HC Aurora, LLC",314,9943.15,297,38318.52,July,7,2023,611,48261.67
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",747,39942.14,127,9399.62,July,7,2023,874,49341.76
College,Online Wagering,Par-A-Dice Gaming Corporation,645,40125.14,0,0,July,7,2023,645,40125.14
College,Total,"Alton Casino, LLC",15,235,1,20,July,7,2023,16,255
College,Total,"Casino Queen, Inc.",4115,216436.55,250,11968.86,July,7,2023,4365,228405.41
College,Total,Elgin Riverboat Resort,159,40726.99,568,76471.8,July,7,2023,727,117198.79
College,Total,"Fairmount Park, Inc.",3203,274441.19,0,0,July,7,2023,3203,274441.19
College,Total,"Hawthorne Race Course, Inc.",255,10217.51,0,0,July,7,2023,255,10217.51
College,Total,"HC Aurora, LLC",330,15034.09,299,38418.52,July,7,2023,629,53452.61
College,Total,"HC Joliet, LLC",17,1260.25,4,170,July,7,2023,21,1430.25
College,Total,"Midwest Gaming & Entertainment, LLC",845,50292.66,142,10335.41,July,7,2023,987,60628.07
College,Total,Par-A-Dice Gaming Corporation,659,40674.14,0,0,July,7,2023,659,40674.14
Motor Race,In-Person Wagering,"Alton Casino, LLC",244,6593.8,16,1813.37,July,7,2023,260,8407.17
Motor Race,In-Person Wagering,"Casino Queen, Inc.",299,5862,101,2122.66,July,7,2023,400,7984.66
Motor Race,In-Person Wagering,Elgin Riverboat Resort,39,256.99,18,307,July,7,2023,57,563.99
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",72,2275.25,0,0,July,7,2023,72,2275.25
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",35,2512.5,0,0,July,7,2023,35,2512.5
Motor Race,In-Person Wagering,"HC Aurora, LLC",29,384,35,336,July,7,2023,64,720
Motor Race,In-Person Wagering,"HC Joliet, LLC",140,2942.05,96,1742.33,July,7,2023,236,4684.38
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",91,6746.33,27,1184.65,July,7,2023,118,7930.98
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,17,461,0,0,July,7,2023,17,461
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",2639,46530.95,42222,587307.72,July,7,2023,44861,633838.67
Motor Race,Online Wagering,Elgin Riverboat Resort,3223,108820.15,2656,121670.94,July,7,2023,5879,230491.09
Motor Race,Online Wagering,"Fairmount Park, Inc.",26177,338274.3,3480,60198.16,July,7,2023,29657,398472.46
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",1058,18879.97,149,2529.77,July,7,2023,1207,21409.74
Motor Race,Online Wagering,"HC Aurora, LLC",3325,68290.88,3151,84717.8,July,7,2023,6476,153008.68
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",6145,102095.7,2700,59732.01,July,7,2023,8845,161827.71
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,3468,39787.03,1055,16965.5,July,7,2023,4523,56752.53
Motor Race,Total,"Alton Casino, LLC",244,6593.8,16,1813.37,July,7,2023,260,8407.17
Motor Race,Total,"Casino Queen, Inc.",2938,52392.95,42323,589430.38,July,7,2023,45261,641823.33
Motor Race,Total,Elgin Riverboat Resort,3262,109077.14,2674,121977.94,July,7,2023,5936,231055.08
Motor Race,Total,"Fairmount Park, Inc.",26249,340549.55,3480,60198.16,July,7,2023,29729,400747.71
Motor Race,Total,"Hawthorne Race Course, Inc.",1093,21392.47,149,2529.77,July,7,2023,1242,23922.24
Motor Race,Total,"HC Aurora, LLC",3354,68674.88,3186,85053.8,July,7,2023,6540,153728.68
Motor Race,Total,"HC Joliet, LLC",140,2942.05,96,1742.33,July,7,2023,236,4684.38
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",6236,108842.03,2727,60916.66,July,7,2023,8963,169758.69
Motor Race,Total,Par-A-Dice Gaming Corporation,3485,40248.03,1055,16965.5,July,7,2023,4540,57213.53
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2023,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2023,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,July,7,2023,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,July,7,2023,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,July,7,2023,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,July,7,2023,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",11756,1037217.73,16370,674743.53,August,8,2023,28126,1711961.26
Professional,In-Person Wagering,"Casino Queen, Inc.",47784,2109346.08,34731,1583075.68,August,8,2023,82515,3692421.76
Professional,In-Person Wagering,Elgin Riverboat Resort,3388,693760.32,9471,679852.99,August,8,2023,12859,1373613.31
Professional,In-Person Wagering,"Fairmount Park, Inc.",8558,416189.44,1848,62380.06,August,8,2023,10406,478569.5
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",19946,1651705.25,0,0,August,8,2023,19946,1651705.25
Professional,In-Person Wagering,"HC Aurora, LLC",6722,397161.59,6113,789324.51,August,8,2023,12835,1186486.1
Professional,In-Person Wagering,"HC Joliet, LLC",5561,406401.21,4454,234352.46,August,8,2023,10015,640753.67
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",29200,4036316.24,29252,4183383.42,August,8,2023,58452,8219699.66
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,3533,393617.64,1205,93046.12,August,8,2023,4738,486663.76
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
Professional,Online Wagering,"Casino Queen, Inc.",3024612,110027761.4,3762014,124456960.4,August,8,2023,6786626,234484721.8
Professional,Online Wagering,Elgin Riverboat Resort,89112,13187964.25,239493,21220356.29,August,8,2023,328605,34408320.54
Professional,Online Wagering,"Fairmount Park, Inc.",4066124,98451924.96,2603280,119054296.6,August,8,2023,6669404,217506221.6
Professional,Online Wagering,"Hawthorne Race Course, Inc.",268889,9918187.07,234157,19770388.57,August,8,2023,503046,29688575.64
Professional,Online Wagering,"HC Aurora, LLC",42203,4336437.92,223780,23647292.1,August,8,2023,265983,27983730.02
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",374694,18209039.22,669225,44171297.71,August,8,2023,1043919,62380336.93
Professional,Online Wagering,Par-A-Dice Gaming Corporation,317418,12781397.01,420783,18214009.76,August,8,2023,738201,30995406.77
Professional,Total,"Alton Casino, LLC",11756,1037217.73,16370,674743.53,August,8,2023,28126,1711961.26
Professional,Total,"Casino Queen, Inc.",3072396,112137107.5,3796745,126040036,August,8,2023,6869141,238177143.5
Professional,Total,Elgin Riverboat Resort,92500,13881724.57,248964,21900209.28,August,8,2023,341464,35781933.85
Professional,Total,"Fairmount Park, Inc.",4074682,98868114.4,2605128,119116676.6,August,8,2023,6679810,217984791
Professional,Total,"Hawthorne Race Course, Inc.",288835,11569892.32,234157,19770388.57,August,8,2023,522992,31340280.89
Professional,Total,"HC Aurora, LLC",48925,4733599.51,229893,24436616.61,August,8,2023,278818,29170216.12
Professional,Total,"HC Joliet, LLC",5561,406401.21,4454,234352.46,August,8,2023,10015,640753.67
Professional,Total,"Midwest Gaming & Entertainment, LLC",403894,22245355.46,698477,48354681.13,August,8,2023,1102371,70600036.59
Professional,Total,Par-A-Dice Gaming Corporation,320951,13175014.65,421988,18307055.88,August,8,2023,742939,31482070.53
College,In-Person Wagering,"Alton Casino, LLC",787,133164.35,161,16056.61,August,8,2023,948,149220.96
College,In-Person Wagering,"Casino Queen, Inc.",559,90496.04,400,74408.12,August,8,2023,959,164904.16
College,In-Person Wagering,Elgin Riverboat Resort,197,23256.05,409,26546.9,August,8,2023,606,49802.95
College,In-Person Wagering,"Fairmount Park, Inc.",406,53272,7,296.75,August,8,2023,413,53568.75
College,In-Person Wagering,"Hawthorne Race Course, Inc.",360,29407.05,0,0,August,8,2023,360,29407.05
College,In-Person Wagering,"HC Aurora, LLC",320,57562.85,139,97907.61,August,8,2023,459,155470.46
College,In-Person Wagering,"HC Joliet, LLC",330,52859.81,52,4937.61,August,8,2023,382,57797.42
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",1297,274523.95,279,91757.24,August,8,2023,1576,366281.19
College,In-Person Wagering,Par-A-Dice Gaming Corporation,150,20709.5,1,10,August,8,2023,151,20719.5
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
College,Online Wagering,"Casino Queen, Inc.",100348,4649341.14,59848,1870161.41,August,8,2023,160196,6519502.55
College,Online Wagering,Elgin Riverboat Resort,7883,1376256.72,5286,460859.2,August,8,2023,13169,1837115.92
College,Online Wagering,"Fairmount Park, Inc.",68617,3219757.45,14313,1732459.42,August,8,2023,82930,4952216.87
College,Online Wagering,"Hawthorne Race Course, Inc.",6599,407820.25,1419,197618.07,August,8,2023,8018,605438.32
College,Online Wagering,"HC Aurora, LLC",3204,282263.44,7141,921404.04,August,8,2023,10345,1203667.48
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",18682,932172.05,5632,591666.1,August,8,2023,24314,1523838.15
College,Online Wagering,Par-A-Dice Gaming Corporation,10756,519576.79,2714,145855,August,8,2023,13470,665431.79
College,Total,"Alton Casino, LLC",787,133164.35,161,16056.61,August,8,2023,948,149220.96
College,Total,"Casino Queen, Inc.",100907,4739837.18,60248,1944569.53,August,8,2023,161155,6684406.71
College,Total,Elgin Riverboat Resort,8080,1399512.77,5695,487406.1,August,8,2023,13775,1886918.87
College,Total,"Fairmount Park, Inc.",69023,3273029.45,14320,1732756.17,August,8,2023,83343,5005785.62
College,Total,"Hawthorne Race Course, Inc.",6959,437227.3,1419,197618.07,August,8,2023,8378,634845.37
College,Total,"HC Aurora, LLC",3524,339826.29,7280,1019311.65,August,8,2023,10804,1359137.94
College,Total,"HC Joliet, LLC",330,52859.81,52,4937.61,August,8,2023,382,57797.42
College,Total,"Midwest Gaming & Entertainment, LLC",19979,1206696,5911,683423.34,August,8,2023,25890,1890119.34
College,Total,Par-A-Dice Gaming Corporation,10906,540286.29,2715,145865,August,8,2023,13621,686151.29
Motor Race,In-Person Wagering,"Alton Casino, LLC",246,7788.75,12,1444.1,August,8,2023,258,9232.85
Motor Race,In-Person Wagering,"Casino Queen, Inc.",275,4510.24,76,863.42,August,8,2023,351,5373.66
Motor Race,In-Person Wagering,Elgin Riverboat Resort,8,642,9,19,August,8,2023,17,661
Motor Race,In-Person Wagering,"Fairmount Park, Inc.",79,1423,0,0,August,8,2023,79,1423
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",13,1101,0,0,August,8,2023,13,1101
Motor Race,In-Person Wagering,"HC Aurora, LLC",24,453,17,545,August,8,2023,41,998
Motor Race,In-Person Wagering,"HC Joliet, LLC",122,1839.2,61,1091.18,August,8,2023,183,2930.38
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",51,1051.43,35,807.4,August,8,2023,86,1858.83
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,30,729,0,0,August,8,2023,30,729
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",791,16920.41,20987,256976.77,August,8,2023,21778,273897.18
Motor Race,Online Wagering,Elgin Riverboat Resort,2108,70612.4,1893,77943.06,August,8,2023,4001,148555.46
Motor Race,Online Wagering,"Fairmount Park, Inc.",11269,133936.86,1235,15668.67,August,8,2023,12504,149605.53
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",481,7427.29,8,42.4,August,8,2023,489,7469.69
Motor Race,Online Wagering,"HC Aurora, LLC",1715,32744.77,1383,61960.05,August,8,2023,3098,94704.82
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",3246,57864.76,1305,29992.26,August,8,2023,4551,87857.02
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,2019,24017.91,955,11438.46,August,8,2023,2974,35456.37
Motor Race,Total,"Alton Casino, LLC",246,7788.75,12,1444.1,August,8,2023,258,9232.85
Motor Race,Total,"Casino Queen, Inc.",1066,21430.65,21063,257840.19,August,8,2023,22129,279270.84
Motor Race,Total,Elgin Riverboat Resort,2116,71254.4,1902,77962.06,August,8,2023,4018,149216.46
Motor Race,Total,"Fairmount Park, Inc.",11348,135359.86,1235,15668.67,August,8,2023,12583,151028.53
Motor Race,Total,"Hawthorne Race Course, Inc.",494,8528.29,8,42.4,August,8,2023,502,8570.69
Motor Race,Total,"HC Aurora, LLC",1739,33197.77,1400,62505.05,August,8,2023,3139,95702.82
Motor Race,Total,"HC Joliet, LLC",122,1839.2,61,1091.18,August,8,2023,183,2930.38
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",3297,58916.19,1340,30799.66,August,8,2023,4637,89715.85
Motor Race,Total,Par-A-Dice Gaming Corporation,2049,24746.91,955,11438.46,August,8,2023,3004,36185.37
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"Fairmount Park, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,August,8,2023,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"Fairmount Park, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,August,8,2023,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,August,8,2023,0,0
Other Event,Total,"Fairmount Park, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,August,8,2023,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,August,8,2023,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,August,8,2023,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",17661,1448918.06,20395,684150.45,September,9,2023,38056,2133068.51
Professional,In-Person Wagering,"Casino Queen, Inc.",77313,4035042.02,35371,2054659.72,September,9,2023,112684,6089701.74
Professional,In-Person Wagering,Elgin Riverboat Resort,3564,648289.65,11007,679101.75,September,9,2023,14571,1327391.4
Professional,In-Person Wagering,"Fairmount Park, Inc.",16106,776541.28,2738,147483.72,September,9,2023,18844,924025
Professional,In-Person Wagering,FHR-Illinois  LLC,86,5024.29,25,901,September,9,2023,111,5925.29
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",26978,2110678.35,87,6561,September,9,2023,27065,2117239.35
Professional,In-Person Wagering,"HC Aurora, LLC",9622,866750.43,7048,945914.15,September,9,2023,16670,1812664.58
Professional,In-Person Wagering,"HC Joliet, LLC",8660,758704.24,7051,433655.39,September,9,2023,15711,1192359.63
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",36308,6677889.78,31120,3852271.26,September,9,2023,67428,10530161.04
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,6953,721485.24,1360,177145.51,September,9,2023,8313,898630.75
Professional,In-Person Wagering,Southern Illinois Riverboat/Casino Cruises LLC,254,28026,752,23854.92,September,9,2023,1006,51880.92
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,September,9,2023,0,0
Professional,Online Wagering,"Casino Queen, Inc.",2740033,103697326.2,8140290,232393396.1,September,9,2023,10880323,336090722.3
Professional,Online Wagering,Elgin Riverboat Resort,111107,21085122.7,308088,26783704.99,September,9,2023,419195,47868827.69
Professional,Online Wagering,"Fairmount Park, Inc.",7131117,161942082.2,3102494,149795731,September,9,2023,10233611,311737813.2
Professional,Online Wagering,FHR-Illinois  LLC,277,67535.06,71,18352,September,9,2023,348,85887.06
Professional,Online Wagering,"Hawthorne Race Course, Inc.",465193,15992915.54,281684,26753568.01,September,9,2023,746877,42746483.55
Professional,Online Wagering,"HC Aurora, LLC",112225,7394217.32,230160,19850892.58,September,9,2023,342385,27245109.9
Professional,Online Wagering,"HC Joliet, LLC",0,0,0,0,September,9,2023,0,0
Professional,Online Wagering,"Midwest Gaming & Entertainment, LLC",432289,22856795.73,752047,44588992.1,September,9,2023,1184336,67445787.83
Professional,Online Wagering,Par-A-Dice Gaming Corporation,496626,18816238.96,552113,20951669.41,September,9,2023,1048739,39767908.37
Professional,Online Wagering,Southern Illinois Riverboat/Casino Cruises LLC,0,0,0,0,September,9,2023,0,0
Professional,Total,"Alton Casino, LLC",17661,1448918.06,20395,684150.45,September,9,2023,38056,2133068.51
Professional,Total,"Casino Queen, Inc.",2817346,107732368.2,8175661,234448055.8,September,9,2023,10993007,342180424
Professional,Total,Elgin Riverboat Resort,114671,21733412.35,319095,27462806.74,September,9,2023,433766,49196219.09
Professional,Total,"Fairmount Park, Inc.",7147223,162718623.5,3105232,149943214.7,September,9,2023,10252455,312661838.2
Professional,Total,FHR-Illinois  LLC,363,72559.35,96,19253,September,9,2023,459,91812.35
Professional,Total,"Hawthorne Race Course, Inc.",492171,18103593.89,281771,26760129.01,September,9,2023,773942,44863722.9
Professional,Total,"HC Aurora, LLC",121847,8260967.75,237208,20796806.73,September,9,2023,359055,29057774.48
Professional,Total,"HC Joliet, LLC",8660,758704.24,7051,433655.39,September,9,2023,15711,1192359.63
Professional,Total,"Midwest Gaming & Entertainment, LLC",468597,29534685.51,783167,48441263.36,September,9,2023,1251764,77975948.87
Professional,Total,Par-A-Dice Gaming Corporation,503579,19537724.2,553473,21128814.92,September,9,2023,1057052,40666539.12
Professional,Total,Southern Illinois Riverboat/Casino Cruises LLC,254,28026,752,23854.92,September,9,2023,1006,51880.92
College,In-Person Wagering,"Alton Casino, LLC",6339,568756.04,2598,314320.11,September,9,2023,8937,883076.15
College,In-Person Wagering,"Casino Queen, Inc.",4082,635214.55,1530,265926.65,September,9,2023,5612,901141.2
