detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",19884987.03,2345637.64,858321.53,3429300.52,968652.87,1350.8,6153799.08,13787550.14,14782597.64,1691977.83,87857.02,0,0,0,August,8,2023
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,9470251.43,1609120.15,402610.22,1548971.56,483491.33,7455.68,2034289.95,6478696.51,7991135.64,1634816.09,35456.37,0,0,0,August,8,2023
Handle Details,Total,"Alton Casino, LLC",1274994.32,62015.81,30114.82,247098.83,9382.46,106,28520.78,56653.43,134498.41,17797.36,9232.85,0,0,0,August,8,2023
Handle Details,Total,"Casino Queen, Inc.",71426481.19,13635804.85,6336928.07,14585767.3,7597011.88,46077.79,17708034.9,32390615.26,63959546.29,17175282.68,279270.84,0,0,0,August,8,2023
Handle Details,Total,Elgin Riverboat Resort,16247645.57,2467656.53,776031.17,4079288.5,618944.13,4650.94,2433271,4583635.73,6421502.44,36226.71,149216.46,0,0,0,August,8,2023
Handle Details,Total,"Fairmount Park, Inc.",64699326.42,14911401.39,1208088.5,11665289.36,3561142.93,24526.93,17361249.7,20904945.02,68325069.68,20329536.71,151028.53,0,0,0,August,8,2023
Handle Details,Total,"Hawthorne Race Course, Inc.",9852159.05,1646014.71,486808.97,1625763.44,1634593.34,174.77,2209354.59,5643162.75,8842598.65,34495.99,8570.69,0,0,0,August,8,2023
Handle Details,Total,"HC Aurora, LLC",10658966.43,945984.58,421990.01,2907786.72,725507.53,5761.67,1698516.76,3961052.89,8645256.66,558530.81,95702.82,0,0,0,August,8,2023
Handle Details,Total,"HC Joliet, LLC",358751.49,3189.38,25973.62,110811.61,16958.02,110,114652.68,17028.01,50526.44,549.84,2930.38,0,0,0,August,8,2023
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",22453753.09,2656055.66,976765.93,4087251.67,1014040.31,1695.8,7024835.76,15225078.6,17282282.58,1768396.53,89715.85,0,0,0,August,8,2023
Handle Details,Total,Par-A-Dice Gaming Corporation,9758664.07,1618853.15,428314.97,1575121.56,491559.08,7495.68,2035699.95,6478821.51,8100385.64,1673306.21,36185.37,0,0,0,August,8,2023
Handle Details,In-Person Wagering,"Alton Casino, LLC",579731.23,31034.79,13747.14,2147080.9,5093.42,903.41,15641.71,24765.42,191329.7,6816.94,12965,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"Casino Queen, Inc.",426221.92,221507.91,53838.18,2221883.15,16939.42,17277.25,258579.72,45725.77,3725685.69,3183.93,9666.95,0,0,0,September,9,2023
Handle Details,In-Person Wagering,Elgin Riverboat Resort,249013.04,65983.65,31498,770797,917,1542,20742.31,29993,619821.73,210,157,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"Fairmount Park, Inc.",151586.5,14338.25,7841.75,522390.25,10906.75,2722.25,10241,2963.75,393419.73,82932.52,2411.5,0,0,0,September,9,2023
Handle Details,In-Person Wagering,FHR-Illinois  LLC,626.83,513.75,537.5,33526.82,100,0,71,480,0,0,0,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",560985.5,195,14260,1048772.15,0,4649,1095,0,847571.05,0,1864.25,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"HC Aurora, LLC",456767.85,30246.32,11303.28,2364613.03,2457.64,4118.81,165128.3,41413.05,136281.59,6296.49,240,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"HC Joliet, LLC",240584.43,5262.89,9672.47,1071421.28,31380.52,1025,70048,64084.7,131446.58,6400.28,2019.7,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",2387097.78,247787.57,107669.24,4658735.84,14700.19,7947.57,1285855.29,863232.29,3640798.11,36288.3,4695.3,0,0,0,September,9,2023
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,268791.75,8496.75,5197.25,532760.5,2463,100,20920,14210.25,230661.99,39614.01,120,0,0,0,September,9,2023
Handle Details,In-Person Wagering,Southern Illinois Riverboat/Casino Cruises LLC,6308,105,125,60486.1,10,117,0,665,34760.09,0,105,0,0,0,September,9,2023
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,9,2023
Handle Details,Online Wagering,"Casino Queen, Inc.",56034037.21,13547805.7,5449271.78,144376690.3,2213862.73,1054250.47,13968230.15,35946371.69,106319623.7,23727280.14,269700.79,0,0,0,September,9,2023
Handle Details,Online Wagering,Elgin Riverboat Resort,13987852,2676766.39,567391.37,31103764.22,214953.22,54732.59,2374239.76,4475253.36,10373570.8,49886.58,115161.31,0,0,0,September,9,2023
Handle Details,Online Wagering,"Fairmount Park, Inc.",49557187.8,12053658.31,1273658.18,100171704.9,1464732.83,627001.95,18336005.85,25628990.4,120248501.2,24619860.26,136415.73,0,0,0,September,9,2023
Handle Details,Online Wagering,FHR-Illinois  LLC,37551.67,2680,2654.21,155199.22,12499.11,448.92,11227.51,330.95,0,1500.4,1499.45,0,0,0,September,9,2023
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",9621212.85,1928511.33,331798.74,15457484,907591.31,13396.29,2496836.91,6858049.88,13164278.94,48751.4,7762.57,0,0,0,September,9,2023
Handle Details,Online Wagering,"HC Aurora, LLC",5665509.98,780056.97,237222.09,17189859.23,247150.93,57759.1,1409641.48,4329370.56,8018921.11,442285.89,32560.35,0,0,0,September,9,2023
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,9,2023
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",14128862.33,1823856.27,720013.7,26698085.33,391955.42,117986.14,6434747.09,11535449.2,19538209.33,2186730.93,54937.86,0,0,0,September,9,2023
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,6969483.09,2354829.72,313491.32,17083192.25,160992.33,263422.29,1727033.13,5996875.5,10693794.12,1869661.56,18168.95,0,0,0,September,9,2023
Handle Details,Online Wagering,Southern Illinois Riverboat/Casino Cruises LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,9,2023
Handle Details,Total,"Alton Casino, LLC",579731.23,31034.79,13747.14,2147080.9,5093.42,903.41,15641.71,24765.42,191329.7,6816.94,12965,0,0,0,September,9,2023
Handle Details,Total,"Casino Queen, Inc.",56460259.13,13769313.61,5503109.96,146598573.4,2230802.15,1071527.72,14226809.87,35992097.46,110045309.4,23730464.07,279367.74,0,0,0,September,9,2023
Handle Details,Total,Elgin Riverboat Resort,14236865.04,2742750.04,598889.37,31874561.22,215870.22,56274.59,2394982.07,4505246.36,10993392.53,50096.58,115318.31,0,0,0,September,9,2023
Handle Details,Total,"Fairmount Park, Inc.",49708774.3,12067996.56,1281499.93,100694095.1,1475639.58,629724.2,18346246.85,25631954.15,120641920.9,24702792.78,138827.23,0,0,0,September,9,2023
Handle Details,Total,FHR-Illinois  LLC,38178.5,3193.75,3191.71,188726.04,12599.11,448.92,11298.51,810.95,0,1500.4,1499.45,0,0,0,September,9,2023
Handle Details,Total,"Hawthorne Race Course, Inc.",10182198.35,1928706.33,346058.74,16506256.15,907591.31,18045.29,2497931.91,6858049.88,14011849.99,48751.4,9626.82,0,0,0,September,9,2023
Handle Details,Total,"HC Aurora, LLC",6122277.83,810303.29,248525.37,19554472.26,249608.57,61877.91,1574769.78,4370783.61,8155202.7,448582.38,32800.35,0,0,0,September,9,2023
Handle Details,Total,"HC Joliet, LLC",240584.43,5262.89,9672.47,1071421.28,31380.52,1025,70048,64084.7,131446.58,6400.28,2019.7,0,0,0,September,9,2023
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",16515960.11,2071643.84,827682.94,31356821.17,406655.61,125933.71,7720602.38,12398681.49,23179007.44,2223019.23,59633.16,0,0,0,September,9,2023
Handle Details,Total,Par-A-Dice Gaming Corporation,7238274.84,2363326.47,318688.57,17615952.75,163455.33,263522.29,1747953.13,6011085.75,10924456.11,1909275.57,18288.95,0,0,0,September,9,2023
Handle Details,Total,Southern Illinois Riverboat/Casino Cruises LLC,6308,105,125,60486.1,10,117,0,665,34760.09,0,105,0,0,0,September,9,2023
Handle Details,In-Person Wagering,"Alton Casino, LLC",332915.56,130058.81,18436.86,1955626.18,5939.08,83137.47,19158.62,20688.52,270620.05,12687.22,6290,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"Casino Queen, Inc.",624600.89,284163.78,48698.18,2573774.84,21348.51,197231.95,197174.82,17841.7,3963959.51,11670.08,1845.33,0,0,0,October,10,2023
Handle Details,In-Person Wagering,Elgin Riverboat Resort,220955.33,308470.18,1845,649448.28,627,35438.85,34115.88,12031.5,650381.31,200,125,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"Fairmount Park, Inc.",215453.25,72232,3662.5,588392,5068,101494.5,10081.25,9861,448367.73,25577.02,2377,0,0,0,October,10,2023
Handle Details,In-Person Wagering,FHR-Illinois  LLC,94724.62,64067.16,4625.57,933986.91,332,8228.82,3674.63,2163.74,0,0,0,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",329445.75,119941.15,1086,1051077.75,0,94932.5,1089,0,889763,0,1766,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"HC Aurora, LLC",157026.27,155548.22,8745.34,1606671.7,3050.14,47266.67,193219.37,29682.27,154931.92,873,490,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"HC Joliet, LLC",172934.81,51754.09,39682.3,1050708.51,37435.11,43370.14,65655.79,9591.15,131957.13,2290.8,2133.09,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",972740.65,842750.22,73116.29,4598783.41,8251.78,220009.52,545221.58,376275.39,3857439.99,28421.52,5081.68,0,0,0,October,10,2023
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,173137.75,22263.5,9548,509279.25,590,7467.25,1855.5,482.5,258600.5,35890.01,45,0,0,0,October,10,2023
Handle Details,In-Person Wagering,Southern Illinois Riverboat/Casino Cruises LLC,4119,850,51,31152.75,0,176,0,0,30142,0,0,0,0,0,October,10,2023
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,10,2023
Handle Details,Online Wagering,"Casino Queen, Inc.",28485054.43,39749951.1,3248689.28,146410131.2,1409230.21,12271598.62,13878140.25,34606408.55,116805845.3,29395563.03,281069.59,0,0,0,October,10,2023
Handle Details,Online Wagering,Elgin Riverboat Resort,6068555.22,7852423.87,380253,29132963.82,127047.33,2034203.64,2580146.61,4930377.08,11895434.46,398439.98,93062.19,0,0,0,October,10,2023
Handle Details,Online Wagering,"Fairmount Park, Inc.",21773376.2,46840256.99,1041104.01,105907138.6,826494.21,8372658.01,16608411.32,17429167.74,155480936,25299961.28,143668.43,0,0,0,October,10,2023
Handle Details,Online Wagering,FHR-Illinois  LLC,1143661.33,1035498.12,76484,5999513.26,153836.24,433402.82,166899.87,264617.62,0,16160.93,16160.48,0,0,0,October,10,2023
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",4090149.03,5430934.33,107124.45,15407608.51,376069.76,1062674.69,2539159.7,7175485.2,13152307.44,43359.34,4200.75,0,0,0,October,10,2023
Handle Details,Online Wagering,"HC Aurora, LLC",2733679.38,2651442.87,158052.54,16256595.85,79080.05,1162958.62,1313955.7,3217022.6,7829436.23,718622.37,34443.56,0,0,0,October,10,2023
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,10,2023
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",7639357.15,8000760.05,472122.08,30244041.38,267021.04,3103084.85,6424933.07,10255261.49,22168646.7,1694758.95,66490.83,0,0,0,October,10,2023
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,3786274.14,5642289.05,231411.96,17641113.18,173555.47,2498613.77,2511012.9,4843751.15,10501136.68,1681563.03,231411.96,0,0,0,October,10,2023
Handle Details,Online Wagering,Southern Illinois Riverboat/Casino Cruises LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October,10,2023
Handle Details,Total,"Alton Casino, LLC",332915.56,130058.81,18436.86,1955626.18,5939.08,83137.47,19158.62,20688.52,270620.05,12687.22,6290,0,0,0,October,10,2023
Handle Details,Total,"Casino Queen, Inc.",29109655.32,40034114.88,3297387.46,148983906.1,1430578.72,12468830.57,14075315.07,34624250.25,120769804.8,29407233.11,282914.92,0,0,0,October,10,2023
Handle Details,Total,Elgin Riverboat Resort,6289510.55,8160894.05,382098,29782412.1,127674.33,2069642.49,2614262.49,4942408.58,12545815.77,398639.98,93187.19,0,0,0,October,10,2023
Handle Details,Total,"Fairmount Park, Inc.",21988829.45,46912488.99,1044766.51,106495530.6,831562.21,8474152.51,16618492.57,17439028.74,155929303.7,25325538.3,146045.43,0,0,0,October,10,2023
Handle Details,Total,FHR-Illinois  LLC,1238385.95,1099565.28,81109.57,6933500.17,154168.24,441631.64,170574.5,266781.36,0,16160.93,16160.48,0,0,0,October,10,2023
Handle Details,Total,"Hawthorne Race Course, Inc.",4419594.78,5550875.48,108210.45,16458686.26,376069.76,1157607.19,2540248.7,7175485.2,14042070.44,43359.34,5966.75,0,0,0,October,10,2023
Handle Details,Total,"HC Aurora, LLC",2890705.65,2806991.09,166797.88,17863267.55,82130.19,1210225.29,1507175.07,3246704.87,7984368.15,719495.37,34933.56,0,0,0,October,10,2023
Handle Details,Total,"HC Joliet, LLC",172934.81,51754.09,39682.3,1050708.51,37435.11,43370.14,65655.79,9591.15,131957.13,2290.8,2133.09,0,0,0,October,10,2023
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",8612097.8,8843510.27,545238.37,34842824.79,275272.82,3323094.37,6970154.65,10631536.88,26026086.69,1723180.47,71572.51,0,0,0,October,10,2023
Handle Details,Total,Par-A-Dice Gaming Corporation,3959411.89,5664552.55,240959.96,18150392.43,174145.47,2506081.02,2512868.4,4844233.65,10759737.18,1717453.04,231456.96,0,0,0,October,10,2023
Handle Details,Total,Southern Illinois Riverboat/Casino Cruises LLC,4119,850,51,31152.75,0,176,0,0,30142,0,0,0,0,0,October,10,2023
Handle Details,In-Person Wagering,"Alton Casino, LLC",33939.68,484598.71,8990,1932858.47,4329.33,112586.98,5174.38,25204.05,292883.77,0,4616,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"Casino Queen, Inc.",16093.76,920509.67,79421.31,2901798.55,12231.21,261174.44,191974.87,55097.28,3840876.51,729.25,1302,0,0,0,November,11,2023
Handle Details,In-Person Wagering,Elgin Riverboat Resort,7496.45,317721.56,4840,588194.03,4773,72185.7,56697.47,6006.7,651319.67,475,480,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"Fairmount Park, Inc.",3781,237547.25,1689,617784.5,3726.5,166216.25,2503.5,47036.5,598868.23,19622.52,2714,0,0,0,November,11,2023
Handle Details,In-Person Wagering,FHR-Illinois  LLC,9653.13,380640.77,1268.53,991894.36,471,8357.02,3081.68,2081.86,0,0,0,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",6274.2,744346.1,3316.5,1111296.15,0,206001.05,1246,0,959713.75,0,368,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"HC Aurora, LLC",29916,949307.48,10443.84,1994890.5,1605,44528.62,162541.07,4750.84,177116.31,227.99,170,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"HC Joliet, LLC",31503.55,238971.69,15449.58,835936.3,4826.6,43397.45,40296.82,8533.82,175547.36,380.85,1074.88,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",58114.72,2951293.91,76747.78,4313703.28,8719.22,529156.49,607171.55,293156.48,4413592.35,26931.94,3695,0,0,0,November,11,2023
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,5355,253914.5,11694.25,511725.75,1605,17909.5,266.5,0,211789.24,6618.51,0,0,0,0,November,11,2023
Handle Details,In-Person Wagering,Southern Illinois Riverboat/Casino Cruises LLC,40,13071,673,53488.15,10,136,39,0,42537.99,0,10,0,0,0,November,11,2023
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,11,2023
Handle Details,Online Wagering,"Casino Queen, Inc.",1097824.67,116533893.8,3487478.82,135897392.8,800951.28,12673076.36,12927822.17,29750243.15,126774000.2,23635833.08,283068.58,0,0,0,November,11,2023
Handle Details,Online Wagering,Elgin Riverboat Resort,312768.86,27386039.33,343406.32,25833422.31,126388.8,2479057.72,2798334.75,2689372.1,12713985.06,386700.74,119515.51,0,0,0,November,11,2023
Handle Details,Online Wagering,"Fairmount Park, Inc.",734285.45,166178810.5,753096.93,110268212.8,648779.74,9360348.14,12921146.99,13100043.11,176254149.8,20731258.3,187098.48,0,0,0,November,11,2023
Handle Details,Online Wagering,FHR-Illinois  LLC,30316.98,5089535.54,129640.28,5626423.97,187583.99,698157.65,102032.29,85344.02,0,0,13955.21,0,1804.39,0,November,11,2023
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",100567.97,14567250.51,143729.77,14194188.44,229167.57,1344686.23,2115194.29,4756412.86,13369769.72,69358.27,12061.31,0,0,0,November,11,2023
Handle Details,Online Wagering,"HC Aurora, LLC",99360.21,20672208.89,382205.54,24212941.84,140782.61,2112212.94,1459004.07,2765002.86,26897489.73,2276104.71,59813.62,0,0,0,November,11,2023
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,11,2023
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",200170.39,22455163.28,561810.32,25851930.4,189756.97,2974386.55,4306426.01,10081044.12,24391034.76,2044309.62,39309.47,0,0,0,November,11,2023
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,118580.93,14580679.91,195997.52,13669498.64,112497.31,1800863.92,2065326.33,4220855.9,11757546.07,1432190.13,4136.52,0,0,0,November,11,2023
Handle Details,Online Wagering,Southern Illinois Riverboat/Casino Cruises LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,11,2023
Handle Details,Total,"Alton Casino, LLC",33939.68,484598.71,8990,1932858.47,4329.33,112586.98,5174.38,25204.05,292883.77,0,4616,0,0,0,November,11,2023
Handle Details,Total,"Casino Queen, Inc.",1113918.43,117454403.5,3566900.13,138799191.4,813182.49,12934250.8,13119797.04,29805340.43,130614876.7,23636562.33,284370.58,0,0,0,November,11,2023
Handle Details,Total,Elgin Riverboat Resort,320265.31,27703760.89,348246.32,26421616.34,131161.8,2551243.42,2855032.22,2695378.8,13365304.73,387175.74,119995.51,0,0,0,November,11,2023
Handle Details,Total,"Fairmount Park, Inc.",738066.45,166416357.8,754785.93,110885997.3,652506.24,9526564.39,12923650.49,13147079.61,176853018.1,20750880.82,189812.48,0,0,0,November,11,2023
Handle Details,Total,FHR-Illinois  LLC,39970.11,5470176.31,130908.81,6618318.33,188054.99,706514.67,105113.97,87425.88,0,0,13955.21,0,1804.39,0,November,11,2023
Handle Details,Total,"Hawthorne Race Course, Inc.",106842.17,15311596.61,147046.27,15305484.59,229167.57,1550687.28,2116440.29,4756412.86,14329483.47,69358.27,12429.31,0,0,0,November,11,2023
Handle Details,Total,"HC Aurora, LLC",129276.21,21621516.37,392649.38,26207832.34,142387.61,2156741.56,1621545.14,2769753.7,27074606.04,2276332.7,59983.62,0,0,0,November,11,2023
Handle Details,Total,"HC Joliet, LLC",31503.55,238971.69,15449.58,835936.3,4826.6,43397.45,40296.82,8533.82,175547.36,380.85,1074.88,0,0,0,November,11,2023
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",258285.11,25406457.19,638558.1,30165633.68,198476.19,3503543.04,4913597.56,10374200.6,28804627.11,2071241.56,43004.47,0,0,0,November,11,2023
Handle Details,Total,Par-A-Dice Gaming Corporation,123935.93,14834594.41,207691.77,14181224.39,114102.31,1818773.42,2065592.83,4220855.9,11969335.31,1438808.64,4136.52,0,0,0,November,11,2023
Handle Details,Total,Southern Illinois Riverboat/Casino Cruises LLC,40,13071,673,53488.15,10,136,39,0,42537.99,0,10,0,0,0,November,11,2023
Handle Details,In-Person Wagering,"Alton Casino, LLC",300,618679.51,11972.29,2483394.74,1331.62,89540.9,19944.66,5876.74,285607.25,3305.4,10,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"Casino Queen, Inc.",902.4,864188.6,110966.64,2649768.81,2187.57,202557.29,219386.03,16910.42,3470787.54,3424.92,226,0,0,0,December,12,2023
Handle Details,In-Person Wagering,Elgin Riverboat Resort,981.7,404022.82,4230.7,542304.36,445,71839.77,37132.43,23708.95,705085.71,30,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"Fairmount Park, Inc.",254,239830,4252,570771.75,971,150905.5,7650,13077,896196.23,60748.27,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,FHR-Illinois  LLC,7154.95,661367.8,3933.52,821550.56,192,15882.77,1398.27,7795.98,0,0,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",0,794359.15,4094.5,1370325.3,0,136922.5,2533.25,0,1077704.75,0,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"HC Aurora, LLC",230,783287.71,16021,1879195.31,605,41769.18,149931.98,660,126850.94,5381.17,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"HC Joliet, LLC",265,335916.85,18541.24,811592.82,880.22,40150.04,94105.75,3734.62,104603.98,859.74,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",23619,2497174.42,63368.35,4456088.18,6503.08,527724.45,426008.44,66818.76,4763518.88,39784.49,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,145,303887.75,105,347543.5,450,9693.5,156,2053010.23,235170.24,3215.76,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,Southern Illinois Riverboat/Casino Cruises LLC,30,7929.13,5,28988.42,20,83.3,505,5,50565.25,0,0,0,0,0,December,12,2023
Handle Details,In-Person Wagering,"The Rock Island Boatworks, LLC",20,1736,0,10819,0,525,0,0,788,0,61,0,0,0,December,12,2023
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2023
Handle Details,Online Wagering,"Casino Queen, Inc.",339158.47,119976688.1,3450485.29,136149399.1,319487.89,12767234.76,13196121.96,18506041.64,120407483.8,29833242.47,1597.95,0,0,0,December,12,2023
Handle Details,Online Wagering,Elgin Riverboat Resort,13617.09,29740669.27,406724.12,23404857.12,30919.54,2253716.51,2079678.04,1797384.26,12739144.11,121766.74,777,0,0,0,December,12,2023
Handle Details,Online Wagering,"Fairmount Park, Inc.",25335.95,111489277.4,1054061.98,102804461.5,188533.7,9546349.22,12981058.43,7683428.74,171061927.6,19758073,1025.44,0,0,0,December,12,2023
Handle Details,Online Wagering,FHR-Illinois  LLC,14130.04,4303179.85,138875.4,4548997.58,37776.02,465642.94,121938.45,55168.42,0,0,0,0,2482.49,0,December,12,2023
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",0,18196069.08,324721.78,18011809.64,663498.83,1610210.37,3947342.41,3792862.9,15470531.25,36620.18,0,0,0,0,December,12,2023
Handle Details,Online Wagering,"HC Aurora, LLC",7230.7,30984323.71,569039.18,28157558.67,46867.68,2762093.79,2659342.87,2262217.45,26234697.89,2843905.83,618.65,0,0,0,December,12,2023
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2023
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",20212.66,25466836.64,536828.71,26527901.83,108947.41,3198304.89,4028473.81,4019536,22881557.92,2103056.96,119.57,0,0,0,December,12,2023
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,4589.96,16941048.49,199834.7,16113818.19,34736,1471778.25,2101548.5,2764620.06,11117058.23,1974740.84,219.47,0,0,0,December,12,2023
Handle Details,Online Wagering,Southern Illinois Riverboat/Casino Cruises LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2023
Handle Details,Online Wagering,"The Rock Island Boatworks, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,12,2023
Handle Details,Total,"Alton Casino, LLC",300,618679.51,11972.29,2483394.74,1331.62,89540.9,19944.66,5876.74,285607.25,3305.4,10,0,0,0,December,12,2023
Handle Details,Total,"Casino Queen, Inc.",340060.87,120840876.7,3561451.93,138799167.9,321675.46,12969792.05,13415507.99,18522952.06,123878271.4,29836667.39,1823.95,0,0,0,December,12,2023
Handle Details,Total,Elgin Riverboat Resort,14598.79,30144692.09,410954.82,23947161.48,31364.54,2325556.28,2116810.47,1821093.21,13444229.82,121796.74,777,0,0,0,December,12,2023
Handle Details,Total,"Fairmount Park, Inc.",25589.95,111729107.4,1058313.98,103375233.2,189504.7,9697254.72,12988708.43,7696505.74,171958123.8,19818821.27,1025.44,0,0,0,December,12,2023
Handle Details,Total,FHR-Illinois  LLC,21284.99,4964547.65,142808.92,5370548.14,37968.02,481525.71,123336.72,62964.4,0,0,0,0,2482.49,0,December,12,2023
Handle Details,Total,"Hawthorne Race Course, Inc.",0,18990428.23,328816.28,19382134.94,663498.83,1747132.87,3949875.66,3792862.9,16548236,36620.18,0,0,0,0,December,12,2023
Handle Details,Total,"HC Aurora, LLC",7460.7,31767611.42,585060.18,30036753.98,47472.68,2803862.97,2809274.85,2262877.45,26361548.83,2849287,618.65,0,0,0,December,12,2023
Handle Details,Total,"HC Joliet, LLC",265,335916.85,18541.24,811592.82,880.22,40150.04,94105.75,3734.62,104603.98,859.74,0,0,0,0,December,12,2023
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",43831.66,27964011.06,600197.06,30983990.01,115450.49,3726029.34,4454482.25,4086354.76,27645076.8,2142841.45,119.57,0,0,0,December,12,2023
Handle Details,Total,Par-A-Dice Gaming Corporation,4734.96,17244936.24,199939.7,16461361.69,35186,1481471.75,2101704.5,4817630.29,11352228.47,1977956.6,219.47,0,0,0,December,12,2023
Handle Details,Total,Southern Illinois Riverboat/Casino Cruises LLC,30,7929.13,5,28988.42,20,83.3,505,5,50565.25,0,0,0,0,0,December,12,2023
Handle Details,Total,"The Rock Island Boatworks, LLC",20,1736,0,10819,0,525,0,0,788,0,61,0,0,0,December,12,2023
Wager Details,In-Person Wagering,"Alton Casino, LLC",32,16715,77,18486,415,1792,388,595,6587,91,14,0,0,0,January,1,2024
Wager Details,In-Person Wagering,"Casino Queen, Inc.",64,7884,204,11200,824,2370,930,187,89813,65,13,0,0,0,January,1,2024
Wager Details,In-Person Wagering,Elgin Riverboat Resort,16,2743,14,3035,85,235,162,41,14424,0,6,0,0,0,January,1,2024
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",28,2151,45,3305,497,504,41,49,13479,27,27,0,0,0,January,1,2024
Wager Details,In-Person Wagering,FHR-Illinois LLC,23,2311,29,3933,42,264,10,170,0,0,1,0,0,0,January,1,2024
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",2,8770,39,10893,0,1715,1,0,11120,0,0,0,0,0,January,1,2024
Wager Details,In-Person Wagering,"HC Aurora, LLC",27,6208,54,5573,124,438,2673,49,2258,43,0,0,0,0,January,1,2024
Wager Details,In-Person Wagering,"HC Joliet, LLC",14,4368,39,7589,248,707,1130,148,1942,4,3,0,0,0,January,1,2024
