detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,2953,1593830,70474,440489,133201,225407,149275,185333,3957908,49450,226283,0,0,0,February,2,2021
Wager Details,Total,"Alton Casino, LLC",200,15709,253,3164,981,1985,404,111,2866,0,414,0,0,0,February,2,2021
Wager Details,Total,"Casino Queen, Inc.",8233,2249696,97349,629251,261893,346850,289446,250522,2347456,167239,90986,0,0,0,February,2,2021
Wager Details,Total,Elgin Riverboat Resort,263,50664,1361,7857,1490,8557,4733,1519,0,3,902,0,0,0,February,2,2021
Wager Details,Total,"Hawthorne Race Course, Inc.",1045,260328,8453,47927,31329,45493,29342,20021,181192,28144,3655,0,0,0,February,2,2021
Wager Details,Total,"HC Aurora, LLC",77,7339,76,1327,143,389,507,67,579,1,82,0,0,0,February,2,2021
Wager Details,Total,"HC Joliet, LLC",52,5871,110,1910,450,968,1035,60,1022,2,145,0,0,0,February,2,2021
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",3627,942799,39608,146205,60279,208437,194512,132380,177072,672,17320,0,0,0,February,2,2021
Wager Details,Total,Par-A-Dice Gaming Corporation,2970,1594882,70508,440953,133219,225537,149277,185341,3960413,49451,226360,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"Alton Casino, LLC",12749.85,1922076.96,13657.72,332279.08,46033.84,102980.08,65075.25,10188.93,207650.89,0,12060.56,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"Casino Queen, Inc.",14737.26,2243350.38,44656.58,358313.26,16422.99,210069.49,77003.52,19808.72,224080.35,3559.94,0,0,0,0,February,2,2021
Handle Details,In-Person Wagering,Elgin Riverboat Resort,3238.8,959619.85,3178.5,185605.34,12539.05,46612.1,15688.36,4877,0,0,1963,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",1761,535124.35,3714,100638.8,0,74707.1,0,0,69645.45,0,2593,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"HC Aurora, LLC",2052.5,600528.58,4385.32,133911.37,6974,17545.61,11951.13,1473.43,38237.33,100,1172.75,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"HC Joliet, LLC",2244,484316.35,20721.02,140742.65,27861.9,53688.25,52318.97,8051.32,56703.75,20,3184.81,0,0,0,February,2,2021
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",44947.51,6187256.07,162099.09,1263283.75,43961.32,435956.5,576334.68,258235.7,536945.02,2112.27,12889.54,0,0,0,February,2,2021
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,1085,271308,7283,40730,2535,14939,600,1081,98993,400,1710,0,0,0,February,2,2021
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Handle Details,Online Wagering,"Casino Queen, Inc.",174174.81,95898028.3,2294149.59,14750998.86,4469961.49,10585330.48,10633605.45,16651589.97,36739732.34,3484661.41,856569.1,0,0,0,February,2,2021
Handle Details,Online Wagering,Elgin Riverboat Resort,14415.88,6621350.37,131914.48,817098.58,85315.75,679799.6,241634.12,191096.45,0,315,42458.77,0,0,0,February,2,2021
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",33163.07,20256930.56,289727.41,2131326.8,854642.95,2257001.66,2865628.9,4066852.59,6079978.34,635808.94,39153.14,0,0,0,February,2,2021
Handle Details,Online Wagering,"HC Aurora, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,February,2,2021
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",101920.62,51201883.84,1174145.39,5722772.13,1275431.29,5793947.19,7900196.37,9323858.24,4140919.89,32915.4,227584.55,0,0,0,February,2,2021
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,63701.24,69539878.51,1606571.97,8827993.7,2281220.29,6123796.62,6587677.16,14755565.21,45874116.2,2552577.59,220371.28,0,0,0,February,2,2021
Handle Details,Total,"Alton Casino, LLC",12749.85,1922076.96,13657.72,332279.08,46033.84,102980.08,65075.25,10188.93,207650.89,0,12060.56,0,0,0,February,2,2021
Handle Details,Total,"Casino Queen, Inc.",188912.07,98141378.68,2338806.17,15109312.12,4486384.48,10795399.97,10710608.97,16671398.69,36963812.69,3488221.35,856569.1,0,0,0,February,2,2021
Handle Details,Total,Elgin Riverboat Resort,17654.68,7580970.22,135092.98,1002703.92,97854.8,726411.7,257322.48,195973.45,0,315,44421.77,0,0,0,February,2,2021
Handle Details,Total,"Hawthorne Race Course, Inc.",34924.07,20792054.91,293441.41,2231965.6,854642.95,2331708.76,2865628.9,4066852.59,6149623.79,635808.94,41746.14,0,0,0,February,2,2021
Handle Details,Total,"HC Aurora, LLC",2052.5,600528.58,4385.32,133911.37,6974,17545.61,11951.13,1473.43,38237.33,100,1172.75,0,0,0,February,2,2021
Handle Details,Total,"HC Joliet, LLC",2244,484316.35,20721.02,140742.65,27861.9,53688.25,52318.97,8051.32,56703.75,20,3184.81,0,0,0,February,2,2021
Handle Details,Total,"Midwest Gaming & Entertainment, LLC",146868.13,57389139.91,1336244.48,6986055.88,1319392.61,6229903.69,8476531.05,9582093.94,4677864.91,35027.67,240474.09,0,0,0,February,2,2021
Handle Details,Total,Par-A-Dice Gaming Corporation,64786.24,69811186.51,1613854.97,8868723.7,2283755.29,6138735.62,6588277.16,14756646.21,45973109.2,2552977.59,222081.28,0,0,0,February,2,2021
Wager Details,In-Person Wagering,"Alton Casino, LLC",497,23371,477,142,1117,2736,508,36,4144,1,287,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"Casino Queen, Inc.",958,40925,466,111,1328,5059,1714,500,12295,328,0,0,0,0,March,3,2021
Wager Details,In-Person Wagering,Elgin Riverboat Resort,225,5439,162,41,246,562,354,13,0,0,77,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"Fairmount Park, Inc.",83,1580,47,23,68,204,16,16,2112,7,17,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"Hawthorne Race Course, Inc.",174,14076,234,64,0,3336,0,0,1212,0,26,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"HC Aurora, LLC",139,9615,137,12,192,805,1181,92,750,16,99,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"HC Joliet, LLC",183,8121,175,38,370,1850,1014,21,1547,0,166,0,0,0,March,3,2021
Wager Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",1683,47080,1429,212,1739,5739,6953,2378,7328,89,154,0,0,0,March,3,2021
Wager Details,In-Person Wagering,Par-A-Dice Gaming Corporation,69,1547,33,3,98,127,20,14,3434,15,75,0,0,0,March,3,2021
Wager Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Wager Details,Online Wagering,"Casino Queen, Inc.",39558,2703008,136223,9238,301836,302977,220950,206058,2559724,66756,46872,0,0,0,March,3,2021
Wager Details,Online Wagering,Elgin Riverboat Resort,2270,60732,1578,625,1807,10263,3044,2068,0,5,409,0,0,0,March,3,2021
Wager Details,Online Wagering,"Fairmount Park, Inc.",14146,2070024,98454,4531,137051,230743,141831,159990,4723661,86798,12826,0,0,0,March,3,2021
Wager Details,Online Wagering,"Hawthorne Race Course, Inc.",7934,336637,11233,1394,28844,43997,26888,18710,250713,29316,2252,0,0,0,March,3,2021
Wager Details,Online Wagering,"HC Aurora, LLC",1701,414017,7240,344,19933,37658,17977,14520,269474,130059,3376,0,0,0,March,3,2021
Wager Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Wager Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",27852,1219578,45839,2963,75194,208550,185596,120707,167903,1514,10944,0,0,0,March,3,2021
Wager Details,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Wager Details,Total,"Alton Casino, LLC",497,23371,477,142,1117,2736,508,36,4144,1,287,0,0,0,March,3,2021
Wager Details,Total,"Casino Queen, Inc.",40516,2743933,136689,9349,303164,308036,222664,206558,2572019,67084,46872,0,0,0,March,3,2021
Wager Details,Total,Elgin Riverboat Resort,2495,66171,1740,666,2053,10825,3398,2081,0,5,486,0,0,0,March,3,2021
Wager Details,Total,"Fairmount Park, Inc.",14229,2071604,98501,4554,137119,230947,141847,160006,4725773,86805,12843,0,0,0,March,3,2021
Wager Details,Total,"Hawthorne Race Course, Inc.",8108,350713,11467,1458,28844,47333,26888,18710,251925,29316,2278,0,0,0,March,3,2021
Wager Details,Total,"HC Aurora, LLC",1840,423632,7377,356,20125,38463,19158,14612,270224,130075,3475,0,0,0,March,3,2021
Wager Details,Total,"HC Joliet, LLC",183,8121,175,38,370,1850,1014,21,1547,0,166,0,0,0,March,3,2021
Wager Details,Total,"Midwest Gaming & Entertainment, LLC",29535,1266658,47268,3175,76933,214289,192549,123085,175231,1603,11098,0,0,0,March,3,2021
Wager Details,Total,Par-A-Dice Gaming Corporation,69,1547,33,3,98,127,20,14,3434,15,75,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"Alton Casino, LLC",42704.76,3324383.69,29644.53,16810.01,34811.22,154836.23,206719.4,2023.7,248015.88,250,10447.24,0,0,0,March,3,2021
